category,name,region,type,road_space_lab_use,license_or_access,status,url,doi_or_citation
standard,Indo-HCM / Indian Highway Capacity Manual,India,capacity manual,"Official Indian capacity/PCU baseline",Purchase/info via CSIR-CRRI,baseline,https://crridom.gov.in/en/indian-highway-capacity-manual,
standard,Transit Capacity and Quality of Service Manual 4th Edition,USA/global,transit capacity manual,"Person/transit capacity and quality-of-service baseline; prevents conflating vehicle capacity with passenger capacity",National Academies read online/free PDF access,baseline,https://www.nationalacademies.org/publications/29449,10.17226/29449
research,PCU urban roads literature review,India/global,review,"Documents region/facility/method sensitivity of PCU",Open access publisher page,baseline,https://www.sciencedirect.com/science/article/pii/S2046043020300472,10.1016/j.ijtst.2020.07.002
research,Dynamic PCU methods review,India,review,"Catalog dynamic PCU approaches and applications",CC BY 4.0,baseline,https://safer.uct.cl/index.php/SAFER/en/article/view/2660,10.7770/safer-V12N-art769
research,Dynamic PCU at signalised intersections,India,paper,"Indian mixed-intersection dynamic-equivalence benchmark",Paper access varies,benchmark,https://www.researchgate.net/publication/281362799_DYNAMIC_PCU_VALUES_AT_SIGNALISED_INTERSECTIONS_IN_INDIA_FOR_MIXED_TRAFFIC,10.7708/ijtte.2015.5(2).09
research,Modeling Heterogeneous Traffic Flow,South Asia,paper,"Early critique of importing homogeneous procedures through PCU conversion",Publisher access,reference,https://journals.sagepub.com/doi/10.3141/1678-28,10.3141/1678-28
research,Areal continuum model for mixed traffic,India,paper,"Primary macroscopic alternative to PCU; area-conservation benchmark",Publisher/arXiv,priority,https://www.sciencedirect.com/science/article/pii/S0378437126002013,10.1016/j.physa.2026.131465
code,Areal Continuum Model implementation,India,GitHub,"Reuse authors' benchmark code before reimplementation",MIT,priority,https://github.com/tffnandan/areal_continuum_model,Paper DOI 10.1016/j.physa.2026.131465
research,Two-dimensional LWR model for lane-free traffic,India/Germany,paper,"2-D macroscopic lane-free baseline",arXiv/publisher,priority,https://arxiv.org/abs/2310.16904,10.1016/j.physa.2023.128990
research,Self-driven particle model for mixed traffic,India/Germany,paper,"2-D microscopic mixed-traffic baseline",arXiv/publisher,priority,https://arxiv.org/abs/1805.05076,10.1016/j.physa.2018.05.086
